Year,Marital status of mother,Age class of mother,Sex of child,Birth order,Age class of father,Count
2020,Other,25-29 years,Girl,First child,20-24 years,0
2020,Other,30-34 years,Girl,First child,20-24 years,0
2020,Other,35-39 years,Girl,First child,20-24 years,0
2020,Other,40-44 years,Girl,First child,20-24 years,0
2020,Other,45-49 years,Girl,First child,20-24 years,0
2020,Other,50 years or older,Girl,First child,20-24 years,0
2020,Married,Less than 20 years,Girl,Second child,20-24 years,0
2020,Married,20-24 years,Girl,Second child,20-24 years,41
2020,Married,25-29 years,Girl,Second child,20-24 years,23
2020,Married,30-34 years,Girl,Second child,20-24 years,6
2020,Married,35-39 years,Girl,Second child,20-24 years,0
2020,Married,40-44 years,Girl,Second child,20-24 years,0
2020,Married,45-49 years,Girl,Second child,20-24 years,0
2020,Married,50 years or older,Girl,Second child,20-24 years,0
2020,Other,Less than 20 years,Girl,Second child,20-24 years,0
2020,Other,20-24 years,Girl,Second child,20-24 years,0
2020,Other,25-29 years,Girl,Second child,20-24 years,0
2020,Other,30-34 years,Girl,Second child,20-24 years,0
2020,Other,35-39 years,Girl,Second child,20-24 years,0
2020,Other,40-44 years,Girl,Second child,20-24 years,0
2020,Other,45-49 years,Girl,Second child,20-24 years,0
2020,Other,50 years or older,Girl,Second child,20-24 years,0
2020,Married,Less than 20 years,Girl,Third child,20-24 years,0
2020,Married,20-24 years,Girl,Third child,20-24 years,6
2020,Married,25-29 years,Girl,Third child,20-24 years,1
2020,Married,30-34 years,Girl,Third child,20-24 years,0
2020,Married,35-39 years,Girl,Third child,20-24 years,0
2020,Married,40-44 years,Girl,Third child,20-24 years,0
2020,Married,45-49 years,Girl,Third child,20-24 years,0
2020,Married,50 years or older,Girl,Third child,20-24 years,0
2020,Other,Less than 20 years,Girl,Third child,20-24 years,0
2020,Other,20-24 years,Girl,Third child,20-24 years,0
2020,Other,25-29 years,Girl,Third child,20-24 years,0
2020,Other,30-34 years,Girl,Third child,20-24 years,0
2020,Other,35-39 years,Girl,Third child,20-24 years,0
2020,Other,40-44 years,Girl,Third child,20-24 years,0
2020,Other,45-49 years,Girl,Third child,20-24 years,0
2020,Other,50 years or older,Girl,Third child,20-24 years,0
2020,Married,Less than 20 years,Girl,Forth child or more,20-24 years,0
2020,Married,20-24 years,Girl,Forth child or more,20-24 years,0
2020,Married,25-29 years,Girl,Forth child or more,20-24 years,0
2020,Married,30-34 years,Girl,Forth child or more,20-24 years,0
2020,Married,35-39 years,Girl,Forth child or more,20-24 years,0
2020,Married,40-44 years,Girl,Forth child or more,20-24 years,0
2020,Married,45-49 years,Girl,Forth child or more,20-24 years,0
2020,Married,50 years or older,Girl,Forth child or more,20-24 years,0
2020,Other,Less than 20 years,Girl,Forth child or more,20-24 years,0
2020,Other,20-24 years,Girl,Forth child or more,20-24 years,0
2020,Other,25-29 years,Girl,Forth child or more,20-24 years,0
2020,Other,30-34 years,Girl,Forth child or more,20-24 years,0
2020,Other,35-39 years,Girl,Forth child or more,20-24 years,0
2020,Other,40-44 years,Girl,Forth child or more,20-24 years,0
2020,Other,45-49 years,Girl,Forth child or more,20-24 years,0
2020,Other,50 years or older,Girl,Forth child or more,20-24 years,0
2020,Married,Less than 20 years,Girl,Mother not married,20-24 years,0
2020,Married,20-24 years,Girl,Mother not married,20-24 years,0
2020,Married,25-29 years,Girl,Mother not married,20-24 years,0
2020,Married,30-34 years,Girl,Mother not married,20-24 years,0
2020,Married,35-39 years,Girl,Mother not married,20-24 years,0
2020,Married,40-44 years,Girl,Mother not married,20-24 years,0
2020,Married,45-49 years,Girl,Mother not married,20-24 years,0
2020,Married,50 years or older,Girl,Mother not married,20-24 years,0
2020,Other,Less than 20 years,Girl,Mother not married,20-24 years,38
2020,Other,20-24 years,Girl,Mother not married,20-24 years,195
2020,Other,25-29 years,Girl,Mother not married,20-24 years,104
2020,Other,30-34 years,Girl,Mother not married,20-24 years,13
2020,Other,35-39 years,Girl,Mother not married,20-24 years,10
2020,Other,40-44 years,Girl,Mother not married,20-24 years,2
2020,Other,45-49 years,Girl,Mother not married,20-24 years,0
2020,Other,50 years or older,Girl,Mother not married,20-24 years,0
2021,Married,Less than 20 years,Boy,First child,20-24 years,4
2021,Married,20-24 years,Boy,First child,20-24 years,150
2021,Married,25-29 years,Boy,First child,20-24 years,54
2021,Married,30-34 years,Boy,First child,20-24 years,8
2021,Married,35-39 years,Boy,First child,20-24 years,4
2021,Married,40-44 years,Boy,First child,20-24 years,0
2021,Married,45-49 years,Boy,First child,20-24 years,0
2021,Married,50 years or older,Boy,First child,20-24 years,0
2021,Other,Less than 20 years,Boy,First child,20-24 years,0
2021,Other,20-24 years,Boy,First child,20-24 years,0
2021,Other,25-29 years,Boy,First child,20-24 years,0
2021,Other,30-34 years,Boy,First child,20-24 years,0
2021,Other,35-39 years,Boy,First child,20-24 years,0
2021,Other,40-44 years,Boy,First child,20-24 years,0
2021,Other,45-49 years,Boy,First child,20-24 years,0
2021,Other,50 years or older,Boy,First child,20-24 years,0
2021,Married,Less than 20 years,Boy,Second child,20-24 years,1
2021,Married,20-24 years,Boy,Second child,20-24 years,42
2021,Married,25-29 years,Boy,Second child,20-24 years,22
2021,Married,30-34 years,Boy,Second child,20-24 years,5
2021,Married,35-39 years,Boy,Second child,20-24 years,0
2021,Married,40-44 years,Boy,Second child,20-24 years,0
2021,Married,45-49 years,Boy,Second child,20-24 years,0
2021,Married,50 years or older,Boy,Second child,20-24 years,0
2021,Other,Less than 20 years,Boy,Second child,20-24 years,0
2021,Other,20-24 years,Boy,Second child,20-24 years,0
2021,Other,25-29 years,Boy,Second child,20-24 years,0
2021,Other,30-34 years,Boy,Second child,20-24 years,0
2021,Other,35-39 years,Boy,Second child,20-24 years,0
2021,Other,40-44 years,Boy,Second child,20-24 years,0
2021,Other,45-49 years,Boy,Second child,20-24 years,0
2021,Other,50 years or older,Boy,Second child,20-24 years,0
2021,Married,Less than 20 years,Boy,Third child,20-24 years,0
2021,Married,20-24 years,Boy,Third child,20-24 years,3
2021,Married,25-29 years,Boy,Third child,20-24 years,1
2021,Married,30-34 years,Boy,Third child,20-24 years,0
2021,Married,35-39 years,Boy,Third child,20-24 years,0
2021,Married,40-44 years,Boy,Third child,20-24 years,0
2021,Married,45-49 years,Boy,Third child,20-24 years,0
2021,Married,50 years or older,Boy,Third child,20-24 years,0
2021,Other,Less than 20 years,Boy,Third child,20-24 years,0
2021,Other,20-24 years,Boy,Third child,20-24 years,0
2021,Other,25-29 years,Boy,Third child,20-24 years,0
2021,Other,30-34 years,Boy,Third child,20-24 years,0
2021,Other,35-39 years,Boy,Third child,20-24 years,0
2021,Other,40-44 years,Boy,Third child,20-24 years,0
2021,Other,45-49 years,Boy,Third child,20-24 years,0
2021,Other,50 years or older,Boy,Third child,20-24 years,0
2021,Married,Less than 20 years,Boy,Forth child or more,20-24 years,0
2021,Married,20-24 years,Boy,Forth child or more,20-24 years,0
2021,Married,25-29 years,Boy,Forth child or more,20-24 years,0
2021,Married,30-34 years,Boy,Forth child or more,20-24 years,0
2021,Married,35-39 years,Boy,Forth child or more,20-24 years,0
2021,Married,40-44 years,Boy,Forth child or more,20-24 years,0
2021,Married,45-49 years,Boy,Forth child or more,20-24 years,0
2021,Married,50 years or older,Boy,Forth child or more,20-24 years,0
2021,Other,Less than 20 years,Boy,Forth child or more,20-24 years,0
2021,Other,20-24 years,Boy,Forth child or more,20-24 years,0
2021,Other,25-29 years,Boy,Forth child or more,20-24 years,0
2021,Other,30-34 years,Boy,Forth child or more,20-24 years,0
2021,Other,35-39 years,Boy,Forth child or more,20-24 years,0
2021,Other,40-44 years,Boy,Forth child or more,20-24 years,0
2021,Other,45-49 years,Boy,Forth child or more,20-24 years,0
2021,Other,50 years or older,Boy,Forth child or more,20-24 years,0
2021,Married,Less than 20 years,Boy,Mother not married,20-24 years,0
2021,Married,20-24 years,Boy,Mother not married,20-24 years,0
2021,Married,25-29 years,Boy,Mother not married,20-24 years,0
2021,Married,30-34 years,Boy,Mother not married,20-24 years,0
2021,Married,35-39 years,Boy,Mother not married,20-24 years,0
2021,Married,40-44 years,Boy,Mother not married,20-24 years,0
2021,Married,45-49 years,Boy,Mother not married,20-24 years,0
2021,Married,50 years or older,Boy,Mother not married,20-24 years,0
2021,Other,Less than 20 years,Boy,Mother not married,20-24 years,23
2021,Other,20-24 years,Boy,Mother not married,20-24 years,202
2021,Other,25-29 years,Boy,Mother not married,20-24 years,81
2021,Other,30-34 years,Boy,Mother not married,20-24 years,14
2021,Other,35-39 years,Boy,Mother not married,20-24 years,6
2021,Other,40-44 years,Boy,Mother not married,20-24 years,2
2021,Other,45-49 years,Boy,Mother not married,20-24 years,0
2021,Other,50 years or older,Boy,Mother not married,20-24 years,0
2021,Married,Less than 20 years,Girl,First child,20-24 years,8
2021,Married,20-24 years,Girl,First child,20-24 years,150
2021,Married,25-29 years,Girl,First child,20-24 years,54
2021,Married,30-34 years,Girl,First child,20-24 years,18
2021,Married,35-39 years,Girl,First child,20-24 years,5
2021,Married,40-44 years,Girl,First child,20-24 years,2
2021,Married,45-49 years,Girl,First child,20-24 years,0
2021,Married,50 years or older,Girl,First child,20-24 years,0
2021,Other,Less than 20 years,Girl,First child,20-24 years,0
2021,Other,20-24 years,Girl,First child,20-24 years,0
2021,Other,25-29 years,Girl,First child,20-24 years,0
2021,Other,30-34 years,Girl,First child,20-24 years,0
2021,Other,35-39 years,Girl,First child,20-24 years,0
2021,Other,40-44 years,Girl,First child,20-24 years,0
2021,Other,45-49 years,Girl,First child,20-24 years,0
2021,Other,50 years or older,Girl,First child,20-24 years,0
2021,Married,Less than 20 years,Girl,Second child,20-24 years,1
2021,Married,20-24 years,Girl,Second child,20-24 years,37
2021,Married,25-29 years,Girl,Second child,20-24 years,23
2021,Married,30-34 years,Girl,Second child,20-24 years,0
2021,Married,35-39 years,Girl,Second child,20-24 years,1
2021,Married,40-44 years,Girl,Second child,20-24 years,0
2021,Married,45-49 years,Girl,Second child,20-24 years,0
2021,Married,50 years or older,Girl,Second child,20-24 years,0
2021,Other,Less than 20 years,Girl,Second child,20-24 years,0
2021,Other,20-24 years,Girl,Second child,20-24 years,0
2021,Other,25-29 years,Girl,Second child,20-24 years,0
2021,Other,30-34 years,Girl,Second child,20-24 years,0
2021,Other,35-39 years,Girl,Second child,20-24 years,0
2021,Other,40-44 years,Girl,Second child,20-24 years,0
2021,Other,45-49 years,Girl,Second child,20-24 years,0
2021,Other,50 years or older,Girl,Second child,20-24 years,0
2021,Married,Less than 20 years,Girl,Third child,20-24 years,0
2021,Married,20-24 years,Girl,Third child,20-24 years,4
2021,Married,25-29 years,Girl,Third child,20-24 years,0
2021,Married,30-34 years,Girl,Third child,20-24 years,0
2021,Married,35-39 years,Girl,Third child,20-24 years,0
2021,Married,40-44 years,Girl,Third child,20-24 years,0
2021,Married,45-49 years,Girl,Third child,20-24 years,0
2021,Married,50 years or older,Girl,Third child,20-24 years,0
2021,Other,Less than 20 years,Girl,Third child,20-24 years,0
2021,Other,20-24 years,Girl,Third child,20-24 years,0
2021,Other,25-29 years,Girl,Third child,20-24 years,0
2021,Other,30-34 years,Girl,Third child,20-24 years,0
2021,Other,35-39 years,Girl,Third child,20-24 years,0
2021,Other,40-44 years,Girl,Third child,20-24 years,0
2021,Other,45-49 years,Girl,Third child,20-24 years,0
2021,Other,50 years or older,Girl,Third child,20-24 years,0
2021,Married,Less than 20 years,Girl,Forth child or more,20-24 years,0
2021,Married,20-24 years,Girl,Forth child or more,20-24 years,0
2021,Married,25-29 years,Girl,Forth child or more,20-24 years,0
2021,Married,30-34 years,Girl,Forth child or more,20-24 years,0
2021,Married,35-39 years,Girl,Forth child or more,20-24 years,0
2021,Married,40-44 years,Girl,Forth child or more,20-24 years,0
2021,Married,45-49 years,Girl,Forth child or more,20-24 years,0
2021,Married,50 years or older,Girl,Forth child or more,20-24 years,0
2021,Other,Less than 20 years,Girl,Forth child or more,20-24 years,0
2021,Other,20-24 years,Girl,Forth child or more,20-24 years,0
2021,Other,25-29 years,Girl,Forth child or more,20-24 years,0
2021,Other,30-34 years,Girl,Forth child or more,20-24 years,0
2021,Other,35-39 years,Girl,Forth child or more,20-24 years,0
2021,Other,40-44 years,Girl,Forth child or more,20-24 years,0
2021,Other,45-49 years,Girl,Forth child or more,20-24 years,0
2021,Other,50 years or older,Girl,Forth child or more,20-24 years,0
2021,Married,Less than 20 years,Girl,Mother not married,20-24 years,0
2021,Married,20-24 years,Girl,Mother not married,20-24 years,0
2021,Married,25-29 years,Girl,Mother not married,20-24 years,0
2021,Married,30-34 years,Girl,Mother not married,20-24 years,0
2021,Married,35-39 years,Girl,Mother not married,20-24 years,0
2021,Married,40-44 years,Girl,Mother not married,20-24 years,0
2021,Married,45-49 years,Girl,Mother not married,20-24 years,0
2021,Married,50 years or older,Girl,Mother not married,20-24 years,0
2021,Other,Less than 20 years,Girl,Mother not married,20-24 years,30
2021,Other,20-24 years,Girl,Mother not married,20-24 years,186
2021,Other,25-29 years,Girl,Mother not married,20-24 years,68
2021,Other,30-34 years,Girl,Mother not married,20-24 years,18
2021,Other,35-39 years,Girl,Mother not married,20-24 years,2
2021,Other,40-44 years,Girl,Mother not married,20-24 years,3
2021,Other,45-49 years,Girl,Mother not married,20-24 years,0
2021,Other,50 years or older,Girl,Mother not married,20-24 years,0
2004,Married,Less than 20 years,Boy,First child,25-29 years,59
2004,Married,20-24 years,Boy,First child,25-29 years,966
2004,Married,25-29 years,Boy,First child,25-29 years,1709
2004,Married,30-34 years,Boy,First child,25-29 years,510
2004,Married,35-39 years,Boy,First child,25-29 years,79
2004,Married,40-44 years,Boy,First child,25-29 years,9
2004,Married,45-49 years,Boy,First child,25-29 years,1
2004,Married,50 years or older,Boy,First child,25-29 years,0
2004,Other,Less than 20 years,Boy,First child,25-29 years,0
2004,Other,20-24 years,Boy,First child,25-29 years,0
2004,Other,25-29 years,Boy,First child,25-29 years,0
2004,Other,30-34 years,Boy,First child,25-29 years,0
2004,Other,35-39 years,Boy,First child,25-29 years,0
2004,Other,40-44 years,Boy,First child,25-29 years,0
2004,Other,45-49 years,Boy,First child,25-29 years,0
2004,Other,50 years or older,Boy,First child,25-29 years,0
2004,Married,Less than 20 years,Boy,Second child,25-29 years,4
2004,Married,20-24 years,Boy,Second child,25-29 years,385
2004,Married,25-29 years,Boy,Second child,25-29 years,948
2004,Married,30-34 years,Boy,Second child,25-29 years,234
2004,Married,35-39 years,Boy,Second child,25-29 years,43
2004,Married,40-44 years,Boy,Second child,25-29 years,5
2004,Married,45-49 years,Boy,Second child,25-29 years,0
2004,Married,50 years or older,Boy,Second child,25-29 years,0
2004,Other,Less than 20 years,Boy,Second child,25-29 years,0
2004,Other,20-24 years,Boy,Second child,25-29 years,0
2004,Other,25-29 years,Boy,Second child,25-29 years,0
2004,Other,30-34 years,Boy,Second child,25-29 years,0
2004,Other,35-39 years,Boy,Second child,25-29 years,0
2004,Other,40-44 years,Boy,Second child,25-29 years,0
2004,Other,45-49 years,Boy,Second child,25-29 years,0
2004,Other,50 years or older,Boy,Second child,25-29 years,0
2004,Married,Less than 20 years,Boy,Third child,25-29 years,0
2004,Married,20-24 years,Boy,Third child,25-29 years,37
2004,Married,25-29 years,Boy,Third child,25-29 years,188
2004,Married,30-34 years,Boy,Third child,25-29 years,44
2004,Married,35-39 years,Boy,Third child,25-29 years,4
2004,Married,40-44 years,Boy,Third child,25-29 years,1
2004,Married,45-49 years,Boy,Third child,25-29 years,0
2004,Married,50 years or older,Boy,Third child,25-29 years,0
2004,Other,Less than 20 years,Boy,Third child,25-29 years,0
2004,Other,20-24 years,Boy,Third child,25-29 years,0
2004,Other,25-29 years,Boy,Third child,25-29 years,0
2004,Other,30-34 years,Boy,Third child,25-29 years,0
2004,Other,35-39 years,Boy,Third child,25-29 years,0
2004,Other,40-44 years,Boy,Third child,25-29 years,0
2004,Other,45-49 years,Boy,Third child,25-29 years,0
2004,Other,50 years or older,Boy,Third child,25-29 years,0
2004,Married,Less than 20 years,Boy,Forth child or more,25-29 years,0
2004,Married,20-24 years,Boy,Forth child or more,25-29 years,3
2004,Married,25-29 years,Boy,Forth child or more,25-29 years,24
2004,Married,30-34 years,Boy,Forth child or more,25-29 years,10
2004,Married,35-39 years,Boy,Forth child or more,25-29 years,4
2004,Married,40-44 years,Boy,Forth child or more,25-29 years,1
2004,Married,45-49 years,Boy,Forth child or more,25-29 years,0
2004,Married,50 years or older,Boy,Forth child or more,25-29 years,0
2004,Other,Less than 20 years,Boy,Forth child or more,25-29 years,0
2004,Other,20-24 years,Boy,Forth child or more,25-29 years,0
2004,Other,25-29 years,Boy,Forth child or more,25-29 years,0
2004,Other,30-34 years,Boy,Forth child or more,25-29 years,0
2004,Other,35-39 years,Boy,Forth child or more,25-29 years,0
2004,Other,40-44 years,Boy,Forth child or more,25-29 years,0
2004,Other,45-49 years,Boy,Forth child or more,25-29 years,0
2004,Other,50 years or older,Boy,Forth child or more,25-29 years,0
2004,Married,Less than 20 years,Boy,Mother not married,25-29 years,0
2004,Married,20-24 years,Boy,Mother not married,25-29 years,0
2004,Married,25-29 years,Boy,Mother not married,25-29 years,0
2004,Married,30-34 years,Boy,Mother not married,25-29 years,0
2004,Married,35-39 years,Boy,Mother not married,25-29 years,0
2004,Married,40-44 years,Boy,Mother not married,25-29 years,0
2004,Married,45-49 years,Boy,Mother not married,25-29 years,0
2004,Married,50 years or older,Boy,Mother not married,25-29 years,0
2004,Other,Less than 20 years,Boy,Mother not married,25-29 years,0
2004,Other,20-24 years,Boy,Mother not married,25-29 years,0
2004,Other,25-29 years,Boy,Mother not married,25-29 years,0
2004,Other,30-34 years,Boy,Mother not married,25-29 years,0
2004,Other,35-39 years,Boy,Mother not married,25-29 years,0
2004,Other,40-44 years,Boy,Mother not married,25-29 years,0
2004,Other,45-49 years,Boy,Mother not married,25-29 years,0
2004,Other,50 years or older,Boy,Mother not married,25-29 years,0
2004,Married,Less than 20 years,Girl,First child,25-29 years,43
2004,Married,20-24 years,Girl,First child,25-29 years,976
2004,Married,25-29 years,Girl,First child,25-29 years,1509
2004,Married,30-34 years,Girl,First child,25-29 years,456
2004,Married,35-39 years,Girl,First child,25-29 years,78
2004,Married,40-44 years,Girl,First child,25-29 years,12
2004,Married,45-49 years,Girl,First child,25-29 years,0
2004,Married,50 years or older,Girl,First child,25-29 years,0
2004,Other,Less than 20 years,Girl,First child,25-29 years,0
2004,Other,20-24 years,Girl,First child,25-29 years,0
2004,Other,25-29 years,Girl,First child,25-29 years,0
2004,Other,30-34 years,Girl,First child,25-29 years,0
2004,Other,35-39 years,Girl,First child,25-29 years,0
2004,Other,40-44 years,Girl,First child,25-29 years,0
2004,Other,45-49 years,Girl,First child,25-29 years,0
2004,Other,50 years or older,Girl,First child,25-29 years,0
2004,Married,Less than 20 years,Girl,Second child,25-29 years,1
2004,Married,20-24 years,Girl,Second child,25-29 years,358
2004,Married,25-29 years,Girl,Second child,25-29 years,936
2004,Married,30-34 years,Girl,Second child,25-29 years,224
2004,Married,35-39 years,Girl,Second child,25-29 years,39
2004,Married,40-44 years,Girl,Second child,25-29 years,8
2004,Married,45-49 years,Girl,Second child,25-29 years,0
2004,Married,50 years or older,Girl,Second child,25-29 years,0
2004,Other,Less than 20 years,Girl,Second child,25-29 years,0
2004,Other,20-24 years,Girl,Second child,25-29 years,0
2004,Other,25-29 years,Girl,Second child,25-29 years,0
2004,Other,30-34 years,Girl,Second child,25-29 years,0
2004,Other,35-39 years,Girl,Second child,25-29 years,0
2004,Other,40-44 years,Girl,Second child,25-29 years,0
2004,Other,45-49 years,Girl,Second child,25-29 years,0
2004,Other,50 years or older,Girl,Second child,25-29 years,0
2004,Married,Less than 20 years,Girl,Third child,25-29 years,0
2004,Married,20-24 years,Girl,Third child,25-29 years,33
2004,Married,25-29 years,Girl,Third child,25-29 years,196
2004,Married,30-34 years,Girl,Third child,25-29 years,42
2004,Married,35-39 years,Girl,Third child,25-29 years,4
2004,Married,40-44 years,Girl,Third child,25-29 years,0
2004,Married,45-49 years,Girl,Third child,25-29 years,0
2004,Married,50 years or older,Girl,Third child,25-29 years,0
2004,Other,Less than 20 years,Girl,Third child,25-29 years,0
2004,Other,20-24 years,Girl,Third child,25-29 years,0
2004,Other,25-29 years,Girl,Third child,25-29 years,0
2004,Other,30-34 years,Girl,Third child,25-29 years,0
2004,Other,35-39 years,Girl,Third child,25-29 years,0
2004,Other,40-44 years,Girl,Third child,25-29 years,0
2004,Other,45-49 years,Girl,Third child,25-29 years,0
2004,Other,50 years or older,Girl,Third child,25-29 years,0
2004,Married,Less than 20 years,Girl,Forth child or more,25-29 years,0
2004,Married,20-24 years,Girl,Forth child or more,25-29 years,2
2004,Married,25-29 years,Girl,Forth child or more,25-29 years,33
2004,Married,30-34 years,Girl,Forth child or more,25-29 years,7
2004,Married,35-39 years,Girl,Forth child or more,25-29 years,2
2004,Married,40-44 years,Girl,Forth child or more,25-29 years,0
2004,Married,45-49 years,Girl,Forth child or more,25-29 years,0
2004,Married,50 years or older,Girl,Forth child or more,25-29 years,0
2004,Other,Less than 20 years,Girl,Forth child or more,25-29 years,0
2004,Other,20-24 years,Girl,Forth child or more,25-29 years,0
2004,Other,25-29 years,Girl,Forth child or more,25-29 years,0
2004,Other,30-34 years,Girl,Forth child or more,25-29 years,0
2004,Other,35-39 years,Girl,Forth child or more,25-29 years,0
2004,Other,40-44 years,Girl,Forth child or more,25-29 years,0
2004,Other,45-49 years,Girl,Forth child or more,25-29 years,0
2004,Other,50 years or older,Girl,Forth child or more,25-29 years,0
2004,Married,Less than 20 years,Girl,Mother not married,25-29 years,0
2004,Married,20-24 years,Girl,Mother not married,25-29 years,0
2004,Married,25-29 years,Girl,Mother not married,25-29 years,0
2004,Married,30-34 years,Girl,Mother not married,25-29 years,0
2004,Married,35-39 years,Girl,Mother not married,25-29 years,0
2004,Married,40-44 years,Girl,Mother not married,25-29 years,0
2004,Married,45-49 years,Girl,Mother not married,25-29 years,0
2004,Married,50 years or older,Girl,Mother not married,25-29 years,0
2004,Other,Less than 20 years,Girl,Mother not married,25-29 years,0
2004,Other,20-24 years,Girl,Mother not married,25-29 years,0
2004,Other,25-29 years,Girl,Mother not married,25-29 years,0
2004,Other,30-34 years,Girl,Mother not married,25-29 years,0
2004,Other,35-39 years,Girl,Mother not married,25-29 years,0
2004,Other,40-44 years,Girl,Mother not married,25-29 years,0
2004,Other,45-49 years,Girl,Mother not married,25-29 years,0
2004,Other,50 years or older,Girl,Mother not married,25-29 years,0
2005,Married,Less than 20 years,Boy,First child,25-29 years,34
2005,Married,20-24 years,Boy,First child,25-29 years,964
2005,Married,25-29 years,Boy,First child,25-29 years,1744
2005,Married,30-34 years,Boy,First child,25-29 years,460
2005,Married,35-39 years,Boy,First child,25-29 years,88
2005,Married,40-44 years,Boy,First child,25-29 years,8
2005,Married,45-49 years,Boy,First child,25-29 years,1
2005,Married,50 years or older,Boy,First child,25-29 years,0
2005,Other,Less than 20 years,Boy,First child,25-29 years,0
2005,Other,20-24 years,Boy,First child,25-29 years,0
2005,Other,25-29 years,Boy,First child,25-29 years,0
2005,Other,30-34 years,Boy,First child,25-29 years,0
2005,Other,35-39 years,Boy,First child,25-29 years,0
2005,Other,40-44 years,Boy,First child,25-29 years,0
2005,Other,45-49 years,Boy,First child,25-29 years,0
2005,Other,50 years or older,Boy,First child,25-29 years,0
2005,Married,Less than 20 years,Boy,Second child,25-29 years,2
2005,Married,20-24 years,Boy,Second child,25-29 years,341
2005,Married,25-29 years,Boy,Second child,25-29 years,940
2005,Married,30-34 years,Boy,Second child,25-29 years,220
2005,Married,35-39 years,Boy,Second child,25-29 years,32
2005,Married,40-44 years,Boy,Second child,25-29 years,5
2005,Married,45-49 years,Boy,Second child,25-29 years,0
2005,Married,50 years or older,Boy,Second child,25-29 years,0
2005,Other,Less than 20 years,Boy,Second child,25-29 years,0
2005,Other,20-24 years,Boy,Second child,25-29 years,0
2005,Other,25-29 years,Boy,Second child,25-29 years,0
2005,Other,30-34 years,Boy,Second child,25-29 years,0
2005,Other,35-39 years,Boy,Second child,25-29 years,0
2005,Other,40-44 years,Boy,Second child,25-29 years,0
2005,Other,45-49 years,Boy,Second child,25-29 years,0
2005,Other,50 years or older,Boy,Second child,25-29 years,0
2005,Married,Less than 20 years,Boy,Third child,25-29 years,0
2005,Married,20-24 years,Boy,Third child,25-29 years,33
2005,Married,25-29 years,Boy,Third child,25-29 years,193
2005,Married,30-34 years,Boy,Third child,25-29 years,38
2005,Married,35-39 years,Boy,Third child,25-29 years,2
2005,Married,40-44 years,Boy,Third child,25-29 years,0
2005,Married,45-49 years,Boy,Third child,25-29 years,0
2005,Married,50 years or older,Boy,Third child,25-29 years,0
2005,Other,Less than 20 years,Boy,Third child,25-29 years,0
2005,Other,20-24 years,Boy,Third child,25-29 years,0
2005,Other,25-29 years,Boy,Third child,25-29 years,0
2005,Other,30-34 years,Boy,Third child,25-29 years,0
2005,Other,35-39 years,Boy,Third child,25-29 years,0
2005,Other,40-44 years,Boy,Third child,25-29 years,0
2005,Other,45-49 years,Boy,Third child,25-29 years,0
2005,Other,50 years or older,Boy,Third child,25-29 years,0
2005,Married,Less than 20 years,Boy,Forth child or more,25-29 years,0
2005,Married,20-24 years,Boy,Forth child or more,25-29 years,6
2005,Married,25-29 years,Boy,Forth child or more,25-29 years,41
2005,Married,30-34 years,Boy,Forth child or more,25-29 years,6
2005,Married,35-39 years,Boy,Forth child or more,25-29 years,0
2005,Married,40-44 years,Boy,Forth child or more,25-29 years,0
2005,Married,45-49 years,Boy,Forth child or more,25-29 years,0
2005,Married,50 years or older,Boy,Forth child or more,25-29 years,0
2005,Other,Less than 20 years,Boy,Forth child or more,25-29 years,0
2005,Other,20-24 years,Boy,Forth child or more,25-29 years,0
2005,Other,25-29 years,Boy,Forth child or more,25-29 years,0
2005,Other,30-34 years,Boy,Forth child or more,25-29 years,0
2005,Other,35-39 years,Boy,Forth child or more,25-29 years,0
2005,Other,40-44 years,Boy,Forth child or more,25-29 years,0
2005,Other,45-49 years,Boy,Forth child or more,25-29 years,0
2005,Other,50 years or older,Boy,Forth child or more,25-29 years,0
2005,Married,Less than 20 years,Boy,Mother not married,25-29 years,0
2005,Married,20-24 years,Boy,Mother not married,25-29 years,0
2005,Married,25-29 years,Boy,Mother not married,25-29 years,0
2005,Married,30-34 years,Boy,Mother not married,25-29 years,0
2005,Married,35-39 years,Boy,Mother not married,25-29 years,0
2005,Married,40-44 years,Boy,Mother not married,25-29 years,0
2005,Married,45-49 years,Boy,Mother not married,25-29 years,0
2005,Married,50 years or older,Boy,Mother not married,25-29 years,0
2005,Other,Less than 20 years,Boy,Mother not married,25-29 years,0
2005,Other,20-24 years,Boy,Mother not married,25-29 years,0
2005,Other,25-29 years,Boy,Mother not married,25-29 years,0
2005,Other,30-34 years,Boy,Mother not married,25-29 years,0
2005,Other,35-39 years,Boy,Mother not married,25-29 years,0
2005,Other,40-44 years,Boy,Mother not married,25-29 years,0
2005,Other,45-49 years,Boy,Mother not married,25-29 years,0
2005,Other,50 years or older,Boy,Mother not married,25-29 years,0
2005,Married,Less than 20 years,Girl,First child,25-29 years,32
2005,Married,20-24 years,Girl,First child,25-29 years,985
2005,Married,25-29 years,Girl,First child,25-29 years,1675
2005,Married,30-34 years,Girl,First child,25-29 years,440
2005,Married,35-39 years,Girl,First child,25-29 years,85
2005,Married,40-44 years,Girl,First child,25-29 years,16
2005,Married,45-49 years,Girl,First child,25-29 years,1
2005,Married,50 years or older,Girl,First child,25-29 years,0
2005,Other,Less than 20 years,Girl,First child,25-29 years,0
2005,Other,20-24 years,Girl,First child,25-29 years,0
